Agency,Uploaded On,Saved
USAID,3/1/2025,1750000000
USAID,3/1/2025,321352400
USAID,3/1/2025,305787873
USAID,3/1/2025,237544511
DEPARTMENT OF STATE,2/26/2025,92221735
USAID,3/1/2025,83602846
USAID,3/1/2025,83521820
USAID,3/1/2025,81275739
USAID,3/1/2025,72077871
USAID,3/1/2025,70445767
USAID,3/1/2025,69426762
USAID,3/1/2025,68407697
USAID,3/1/2025,65253758
USAID,3/1/2025,62504799
USAID,3/1/2025,61814454
USAID,3/1/2025,61332845
USAID,3/1/2025,60893839
USAID,3/1/2025,59743000
USAID,3/1/2025,59440754
USAID,3/1/2025,58724000
USAID,3/1/2025,55408000
USAID,3/1/2025,53283580
USAID,2/6/2025,52853764
USAID,3/1/2025,50508000
USAID,3/1/2025,50000000
USAID,3/1/2025,47788401
USAID,3/1/2025,47782956
USAID,3/1/2025,47702653
USAID,3/1/2025,47127354
USAID,3/1/2025,46647345
DEPARTMENT OF STATE,2/26/2025,46528000
USAID,3/1/2025,45574251
DEPARTMENT OF STATE,2/26/2025,45006469
USAID,3/1/2025,44100000
USAID,2/12/2025,43900000
USAID,3/1/2025,43750000
DEPARTMENT OF STATE,2/26/2025,43657781
USAID,3/1/2025,42672775
USAID,3/1/2025,42507888
USAID,3/1/2025,41746246
USAID,3/1/2025,41458688
USAID,2/11/2025,40710908
USAID,2/12/2025,38104378
USAID,3/1/2025,37153200
USAID,3/1/2025,36592575
USAID,3/1/2025,36565555
USAID,3/1/2025,36309035
USAID,3/1/2025,36180935
USAID,3/1/2025,35842033
USAID,3/1/2025,35833200
USAID,3/1/2025,35492024
USAID,3/1/2025,34670087
USAID,3/1/2025,34400000
USAID,3/1/2025,33400774
USAID,3/1/2025,33332000
USAID,3/1/2025,33000000
USAID,3/1/2025,32437261
USAID,3/1/2025,31870468
USAID,3/1/2025,31650000
USAID,3/1/2025,31022027
USAID,3/1/2025,30660899
USAID,3/1/2025,30376563
USAID,2/11/2025,30280715
USAID,3/1/2025,30000000
USAID,3/1/2025,29723243
USAID,2/11/2025,29197378
DEPARTMENT OF STATE,2/26/2025,29015866
USAID,3/1/2025,29000000
DEPARTMENT OF EDUCATION,2/18/2025,28913738
USAID,3/1/2025,28519426
USAID,3/1/2025,28027317
USAID,3/1/2025,28000000
USAID,3/1/2025,27983856
USAID,3/1/2025,27842727
USAID,3/1/2025,27820000
USAID,3/1/2025,27398659
USAID,2/10/2025,27300000
USAID,3/1/2025,27175000
USAID,3/1/2025,26562000
USAID,3/1/2025,26442620
USAID,3/1/2025,26400000
USAID,3/1/2025,26238862
USAID,3/1/2025,26214213
USAID,2/11/2025,26100000
USAID,3/1/2025,26000000
USAID,3/1/2025,25707521
DEPARTMENT OF STATE,2/26/2025,25421110
USAID,3/1/2025,25398928
USAID,3/1/2025,25345000
USAID,2/10/2025,24986000
DEPARTMENT OF EDUCATION,2/18/2025,24983550
USAID,3/1/2025,24840397
USAID,3/1/2025,24245050
USAID,3/1/2025,24022000
USAID,3/1/2025,23920626
USAID,3/1/2025,23800000
USAID,3/1/2025,23700000
DEPARTMENT OF STATE,2/26/2025,23127674
USAID,3/1/2025,22579625
USAID,3/1/2025,22198761
USAID,3/1/2025,22055179
DEPARTMENT OF STATE,2/26/2025,21948878
USAID,2/11/2025,21778613
USAID,3/1/2025,21497428
DEPARTMENT OF STATE,2/26/2025,21344886
USAID,3/1/2025,21332989
USAID,3/1/2025,21300000
USAID,3/1/2025,21278586
USAID,3/1/2025,21100710
USAID,3/1/2025,20235975
USAID,3/1/2025,20202970
USAID,3/1/2025,19800000
USAID,3/1/2025,19466835
USAID,3/1/2025,19461198
DEPARTMENT OF STATE,2/26/2025,19100000
USAID,3/1/2025,19000000
USAID,3/1/2025,18970831
USAID,2/6/2025,18948168
USAID,3/1/2025,18948168
USAID,3/1/2025,18932000
USAID,3/1/2025,18846330
USAID,3/1/2025,18818075
USAID,3/1/2025,18725000
USAID,3/1/2025,18500000
USAID,3/1/2025,18447853
