Main Agency,Location,Sq Ft,Saved
MINE SAFETY HEALTH ADMINISTRATION,"ARLINGTON, VA","88,469",15080510
DHS OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT,"WASHINGTON, DC","59,681",13870065
MULTIPLE,"ARLINGTON, VA","55,043",12979560
MULTIPLE,"WASHINGTON, DC","66,390",12739370
DHS OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT,"ARLINGTON, VA","49,662",12202890
MULTIPLE,"SILVER SPRING, MD","64,471",10030660
GEOLOGICAL SURVEY,"MENLO PARK, CA","20,000",9000000
BANKRUPTCY CLERK,"COLUMBUS, OH","61,371",7564950
MULTIPLE,"WASHINGTON, DC","30,193",7313215
BUREAU OF LABOR STATISTICS,"WASHINGTON, DC","845,389",7148974
OFFICE OF SURFACE MINING AND REGULATION ENFORCEMENT,"TULSA, OK","41,676",6340888
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"LOWELL, MA","36,752",5947960
PUBLIC DEFENDER SERVICE,"PHOENIX, AZ","46,567",5842375
NATIONAL LABOR RELATIONS BOARD,"BUFFALO, NY","37,644",5104580
MULTIPLE,"DERWOOD, MD","29,744",4421785
DEPT OF TREASURY-BUREAU OF THE FISCAL SERVICE,"HYATTSVILLE, MD","76,372",4239635
MULTIPLE,"WASHINGTON, DC","17,593",3978085
OFFICE OF U.S. ATTORNEYS,"MUSKOGEE, OK","33,119",3710015
DEPARTMENT OF AIR FORCE,"NORTH CHARLESTON, SC","75,000",3625660
"CORPS OF ENGINEERS, CIVIL","MOBILE, AL","23,860",3610220
MULTIPLE,"LOS ANGELES, CA","16,439",2996995
RURAL HOUSING SERVICE,"PALMER, AK","19,716",2839785
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"BUFFALO, NY","18,163",2744480
DHS UNITED STATES SECRET SERVICE,"WILMINGTON, DE","13,441",2640800
NATURAL RESOURCES CONSERVATION SERVICE,"GREENSBORO, NC","30,123",2376707
DOD -WHS,"LOS ANGELES, CA","6,610",2317200
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"NEW YORK, NY",0,2261182
GEOLOGICAL SURVEY,"ANCHORAGE, AK","20,326",2209205
CENTER FOR DISEASE CONTROL,"ATLANTA, GA, CDC","119,812",2060883
MULTIPLE,"WASHINGTON, DC","46,821",1898397
BORDER PATROL FACILITIES,"SHELBY, MT","16,292",1817795
DOE-CARLSBAD OFFICE,"CARLSBAD, NM","90,850",1756298
MULTIPLE,"LORTON, VA","15,280",1713445
SOCIAL SECURITY ADMINISTRATION,"GAINESVILLE, GA","17,844",1688423
FOREST SERVICE,"ALBUQUERQUE, NM","22,216",1681950
SOCIAL SECURITY ADMINISTRATION,"HORSEHEADS, NY","11,400",1558450
DHS UNITED STATES SECRET SERVICE,"REHOBOTH BEACH, DE","2,400",1544875
GEOLOGICAL SURVEY,"CORVALLIS, OR","6,849",1414992
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"BEND, OR","6,156",1392480
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"NEW YORK, NY",0,1316480
BUREAU OF PRISONS,"KANSAS CITY, BUREAU OF PRISONS","51,138",1275000
DHS UNITED STATES SECRET SERVICE,"WILMINGTON, DE",0,1249875
SOCIAL SECURITY ADMINISTRATION,"CAMPBELLSVILLE, KY","12,750",1207824
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"SAN JOSE, CA","5,736",1174681
FIELD OFFICES,"WASHINGTON, DC","22,195",1150282
SOCIAL SECURITY ADMINISTRATION,"VICTORIA, TX","11,795",1121001
FEDERAL TRADE COMMISSION,"ATLANTA, GA","8,360",1117415
SOCIAL SECURITY ADMINISTRATION,"FRANKLIN, NC","8,895",1059184
FEDERAL HIGHWAY ADMINISTRATION,"BOISE, ID","5,179",1019271
SOCIAL SECURITY ADMINISTRATION,"GREENVILLE, NC","13,775",997787
SOCIAL SECURITY ADMINISTRATION,"MERIDIAN, MS","9,796",977426
SOCIAL SECURITY ADMINISTRATION,"HOUMA, LA","13,152",965564
RISK MANAGEMENT AGENCY (RMA),"TOPEKA, KS","5,560",964396
GOVERNMENT ACCOUNTABILITY OFFICE,"SEATTLE, WA","23,394",946460
FEDERAL TRANSIT ADMINISTRATION,"CHICAGO, IL","13,531",943641
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"MILWAUKEE, WI","7,322",933500
FEDERAL HIGHWAY ADMINISTRATION,"SALEM, OR","6,589",924916
MINE SAFETY HEALTH ADMINISTRATION,"CRAIG, CO","4,328",921415
FARM SERVICE AGENCY- STATE,"LEXINGTON-FAYETTE, KY","39,235",917195
NATIONAL PARK SERVICE,"SAN ANTONIO, TX","14,478",902473
SOCIAL SECURITY ADMINISTRATION,"ELIZABETH CITY, NC","7,914",887470
BUREAU OF MINERALS MANAGEMENT SERVICE,"HOUMA, LA","13,865",858919
SOCIAL SECURITY ADMINISTRATION,"THOMASVILLE, GA","11,150",819228
DEFENSE INFORMATION SYSTEMS AGENCY,"REHOBOTH BEACH, DE","2,740",781500
OFFICE OF U.S. ATTORNEYS,"TOLEDO, OH","16,787",755214
NATIONAL ARCHIVES CENTERS,"HOFFMAN ESTATES, IL","73,573",740457
PROBATION,"TOLEDO, OH","6,834",733665
BUREAU OF RECLAMATION,"BEND, OR","3,386",725888
SOCIAL SECURITY ADMINISTRATION,"NASHVILLE, TN","4,133",712885
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"SALEM, OR","9,733",679228
AGRICULTURAL MARKETING SERVICE,"PORTLAND, OR","5,485",663980
BUR OF INDUSTRY & SECURITY,"HERNDON, VA","4,539",641665
UNITED STATES TRUSTEES,"SALT LAKE CITY, UT","8,433",632529
MULTIPLE,"CHARLOTTESVILLE, VA","3,719",620605
SOCIAL SECURITY ADMINISTRATION,"ANNISTON, AL","12,926",608457
MULTIPLE,"REHOBOTH BEACH, DE","1,300",600000
SOCIAL SECURITY ADMINISTRATION,"MINOT, ND","5,950",586657
SOCIAL SECURITY ADMINISTRATION,"CARLSBAD, CA","3,579",582245
NATURAL RESOURCES CONSERVATION SERVICE,"WASILLA, AK","4,200",562242
FARM SERVICE AGENCY - COUNTY,"HENDERSONVILLE, NC","5,358",558780
ALLOWANCE TO FORMER PRESIDENTS,"ATLANTA, GA","7,682",544991
SOCIAL SECURITY ADMINISTRATION,"OKEMOS, MI","4,276",544830
SOCIAL SECURITY ADMINISTRATION,"CULLMAN, AL","7,361",512221
SOCIAL SECURITY ADMINISTRATION,"GREENWOOD, MS","11,100",504916
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"IDAHO FALLS, ID","13,681",488290
INDIAN HEALTH SERVICE NAVAJO,"FARMINGTON, NM","2,000",485746
DOD -WHS,"WILMINGTON, DE","2,350",446250
SOCIAL SECURITY ADMINISTRATION,"GRAND JUNCTION, CO","7,975",432912
AGRICULTURAL MARKETING SERVICE,"LITTLE ROCK, AR","3,974",429375
DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W,"ST. LOUIS, MO","3,392",425435
DEFENSE CONTRACT MANAGEMENT AGENCY- LOCAL,"ADDISON, TX","8,905",416078
SOCIAL SECURITY ADMINISTRATION,"COLUMBUS, OH","3,999",405295
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"SAINT AUGUSTINE, FL","4,045",394390
MULTIPLE,"BREA, CA","2,551",369130
MULTIPLE,"WASHINGTON, DC","2,061",359100
FOREST SERVICE,"MESA, AZ","7,500",355950
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"GREENSBORO, NC","5,846",348390
DHS TRANSPORTATION SECURITY ADMINISTRATION,"ABILENE, TX","4,998",343715
SOCIAL SECURITY ADMINISTRATION,"BRUNSWICK, GA","9,856",341023
FEDERAL MEDIATION AND CONCILIATION SERVICE,"ST. LOUIS, MO","4,237",337219
ENVIRONMENTAL PROTECTION AGENCY,"CHARLOTTE AMALIE, VI","1,277",337055
MULTIPLE,"ALBUQUERQUE, NM","5,624",330975
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"HILO, HI","1,427",310916
ENVIRONMENTAL PROTECTION AGENCY,"STAMFORD, CT","1,380",308496
OFFICE OF U.S. ATTORNEYS,"CORPUS CHRISTI, TX","17,039",307267
NATURAL RESOURCES CONSERVATION SERVICE,"PUYALLUP, WA","2,930",298336
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"EL PASO, TX","7,973",296960
SOCIAL SECURITY ADMINISTRATION,"ROCK SPRINGS, WY","4,131",292142
UNITED STATES FISH AND WILDLIFE SERVICE,"MADISON, WI","2,871",290709
OFFICE OF THE COMPTROLLER OF THE CURRENCY,"CHAMPAIGN, IL","2,958",289465
SOCIAL SECURITY ADMINISTRATION,"VIDALIA, GA","10,133",285947
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"SALEM, OR","2,200",283555
FARM SERVICE AGENCY - COUNTY,"WATERTOWN, SD","7,869",278049
SOCIAL SECURITY ADMINISTRATION,"MELBOURNE, FL","1,415",263660
MULTIPLE,"MCALLEN, TX","2,597",258439
RURAL HOUSING SERVICE,"BATESVILLE, AR","3,403",255225
NATURAL RESOURCES CONSERVATION SERVICE,"CONWAY, AR","5,171",255077
BUREAU OF INDIAN AFFAIRS,"ST. GEORGE, UT",750,252000
UNITED STATES FISH AND WILDLIFE SERVICE,"FALMOUTH, ME","2,999",247157
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"MOBILE, AL","5,118",243958
